tweet_id,customer_message,gold_intent,predicted_intent,intent_failure,confidence,expected_escalation,predicted_escalation,escalation_failure,escalation_reason,response,response_length
2317870,@AmazonHelp Hi itâs not my account itâs my mums account. Yes she received the email however it is asking for billing information to be faxed for the card that was used. It was not her card that was used it was my partners card. How do we resolve this?,payment_billing,payment_billing,False,0.885858185890348,True,False,True,Intent confidence and historical evidence are strong enough for automated handling.,"@Customer I’m sorry for the confusion. Since the card used was not the account holder’s, please reply directly to the email from our specialist team to clarify that the billing information belongs to your partner. This will help them verify the payment method and resolve the issue. ^KA",286
1454261,@AmazonHelp It's providing a USPS tracking but when I pull that up it says the package hasn't even left Illinois https://t.co/7DNxY0CaqE,delivery_problem,order_management,True,0.4174386046206701,False,False,False,Intent confidence and historical evidence are strong enough for automated handling.,"@Customer I'm sorry to hear your package is still in Illinois! If it doesn't arrive by the expected delivery date, please reach out to us by phone at this link here: https://t.co/hApLpMlfHN ^VS",193
2352289,@AmazonHelp 2 attempts to order an orthapedic chair end in abject failure. Completely useless service from Amazon,order_management,product_issue,True,0.4528284721489195,False,True,True,Customer reports repeated support attempts or complaints. Human follow-up is appropriate.,I'm sorry to hear about the trouble with your order. Could you please share the order number so we can look into what went wrong? ^TM,133
1730755,"@115850 price fr ths prdct is 999 oly &amp; u r showing 1390 rs just to show 541 rs off. Cheating people, shame on u premium brand.#Unexpected https://t.co/FGCOnzJRGf",product_information,product_information,False,0.8261449307556101,False,False,False,Intent confidence and historical evidence are strong enough for automated handling.,@115850 I understand your concern. Please note that the prices offered are at the sellers' discretion. I have forwarded your comment as feedback for internal review. ^SI,169
2687484,@116090 you  have now missed deliver commitments twice in two days. Been waiting on hold 26 minutes to speak to a manager not good at all. I paid for next day shipping and I am a PRIME member! https://t.co/90OGlt2sD7,prime_membership,prime_membership,False,0.6378815958061805,True,False,True,Intent confidence and historical evidence are strong enough for automated handling.,"@116090 I'm sorry we let you down. We'd like to look into why your parcel hasn't been dispatched. Please reach out to us, when you have a moment: https://t.co/qy3J24VGxb ^AM",173
1434941,@AmazonHelp Itâs only giving me the option to email ð©,account_access,account_access,False,0.21057351640803298,False,False,False,Intent confidence and historical evidence are strong enough for automated handling.,@Customer Sorry about that! Please try using this link to reach us by chat: https://t.co/2n73phHPtG ^JJ,103
2398302,"@AmazonHelp Yes, first thing we did was contacted @115821 and we were told that since it was a third-party, we can't receive a refund. We are stuck!",returns_refunds,returns_refunds,False,0.5810144537202349,True,True,False,Customer indicates a previous support interaction remains unresolved. Human follow-up is appropriate.,"@115821 I’m sorry to hear you’re stuck. Since the seller is unresponsive, you can file an A-to-z Guarantee Claim here: https://t.co/4S5ALLg6t9",142
1955739,"@AmazonHelp This is already been reported and apparently been investigated but most importantly, this is Diwali and we were expecting it on time.",technical_issue,support_followup,True,0.2821204613649018,False,False,False,Intent confidence and historical evidence are strong enough for automated handling.,"@Customer I’m sorry to hear that your order is delayed during Diwali. Since this has already been reported, we will look into it further and get back to you at the earliest. Please share your order ID so we can assist you better. ^HN",233
2176660,@AmazonHelp Thank you :) appreciate it,technical_issue,other,True,0.8872016564380231,False,False,False,Message is positive feedback without an unresolved support issue.,You're welcome! Please let us know if you have any other questions! ^BH,71
259360,"So much for my 2 day @115821 guaranteed shipping!ð ugh, ordered it last week, was supposed to show up on Sun/Mon and here we are a week l8r https://t.co/MOWuwyZH2c",order_management,product_information,True,0.7586652497541178,False,False,False,Intent confidence and historical evidence are strong enough for automated handling.,"I'm sorry for the delay! Two-day shipping refers to transit time, in business days, after the order ships out. Have we missed the original delivery date given in your confirmation e-mail?",187
